Row,Class,Block,V2 Length,V2 Width,V2 Area,V3 Length,V3 Width,V3 Area,V4 Length,V4 Width,V4 Area,V5 Length,V5 Width,V5 Area,V6 Length,V6 Width,V6 Area,V7 Length,V7 Width,V7 Area,V8 Length,V8 Width,V8 Area,V9 Length,V9 Width,V9 Area,V10 Length,V10 Width,V10 Area,V11 Length,V11 Width,V11 Area,V12 Length,V12 Width,V12 Area,V13 Length,V13 Width,V13 Area,V14 Length,V14 Width,V14 Area,V15 Length,V15 Width,V15 Area,V16 Length,V16 Width,V16 Area,V17 Length,V17 Width,V17 Area,V18 Length,V18 Width,V18 Area,V19 Length,V19 Width,V19 Area,V20 Length,V20 Width,V20 Area
AS23-0758.02,WT,Block 1,12.1,1.4,12.705,16,2.4,28.8,21.1,2.9,45.8925,28.3,3.2,67.92,38.6,3.7,107.115,45,4.4,148.5,52.6,5.6,220.92,62.5,6.8,318.75,68.3,7.4,379.065,69.9,9.2,466.24,72.6,9.1,510.86,77.3,10.4,583.75,80.1,10.5,621.27,83.3,10.6,644.24,81.8,10.8,639.44,79.6,9.8,609.39,75.3,9,538.31,65.3,8.4,441.27,52.7,7,284.98
AS23-0758.03,WT,Block 1,12.3,1.4,12.915,16.9,2,25.35,18.6,2.5,34.875,26.8,2.9,58.29,32.5,3.6,87.75,40.9,4.1,125.7675,49.9,5.8,217.065,57,6,256.5,66.6,6.8,339.66,60.9,8.6,413.94,73.2,9.3,512.78,74.7,9.9,565.22,85.6,10.2,641.96,83.5,10.3,648.76,88.1,10.3,695.07,75.4,9.6,594.91,75.4,9,533.71,67.6,8,399.96,55,7.3,303.97
AS23-0758.05,WT,Block 1,12.1,1.6,14.52,16.4,2.1,25.83,20.2,2.7,40.905,28.4,3.1,66.03,34.4,3.6,92.88,43,4.2,135.45,48.5,5.7,207.3375,59.5,6,267.75,67.6,6.9,349.83,62,8.8,440.35,68.7,9.1,516.42,73.8,10,607.2,87.5,10,632.5,85.2,10.3,642.2,79.9,10,603.82,75.3,9.5,561.1,68.5,8.7,483.62,60.3,7.6,362.56,52.2,6.6,258.56
AS23-0758.06,WT,Block 1,11,1.4,11.55,14.4,1.8,19.44,20.7,2.5,38.8125,24.7,2.8,51.87,32.8,3.6,88.56,36.4,4.2,114.66,44,4.7,155.1,49.2,5.8,214.02,55.3,5.9,244.7025,56.3,7.7,315.78,60.5,8.1,386.55,68.7,8.7,443.25,74,9.2,490.57,71.5,8.9,476.73,76.9,9.8,550.37,70.2,9.6,510.78,66.4,9,467.15,61.3,8.2,399.95,63,7.1,305.49
AS23-0758.09,WT,Block 1,12.2,1.4,12.81,15,2.3,25.875,23.2,2.7,46.98,28,3,63,35.2,3.6,95.04,39.9,4.2,125.685,50.2,4.9,184.485,56.9,5.8,247.515,62.8,6.7,315.57,60.2,8.3,362.93,67.2,8.1,431.99,69.6,10,523.49,77.8,10.3,600.4,74.8,10.6,580.42,80.9,10.5,630.87,78.3,9.9,575.39,73.3,8.5,467.94,63.1,8.4,409.66,59.3,7.7,329.34
AS23-0758.10,WT,Block 1,11.1,1.4,11.655,15,2.1,23.625,19.7,2.6,38.415,26.7,3.1,62.0775,33.8,3.5,88.725,41.3,4.3,133.1925,48.6,4.9,178.605,53,5.9,234.525,64.1,6.9,331.7175,59,8.3,365.64,66.3,8.9,461.01,72.3,9.6,533.62,78.7,10.2,605.25,79.8,10.2,608.56,86.9,10.4,671.37,78.7,9.8,615.85,75.1,9.6,570.31,89.8,8.4,464.87,57.2,6.9,313.25
AS23-0758.11,WT,Block 1,12.2,1.5,13.725,15.3,2.3,26.3925,20,2.7,40.5,27.4,3.1,63.705,35.6,3.6,96.12,41.1,4.1,126.3825,51,5.3,202.725,57.1,6.7,286.9275,64.4,7.3,352.59,59.8,8.7,409.62,64.5,9.9,484.36,70.5,10.2,566.57,76.6,11.2,620.18,72.2,11.5,636.15,80,11.7,669.92,78.1,10.4,642.67,70.5,9.9,564.22,66.4,8.8,462.17,54.7,8.2,363.61
AS23-0758.15,WT,Block 1,11.8,1.4,12.39,17,2.1,26.775,21.2,2.5,39.75,28.9,2.9,62.8575,35.5,3.5,93.1875,44,4.2,138.6,50.1,5,187.875,59,6.1,269.925,67.2,7.1,357.84,63.6,8.8,422.96,71.5,9.3,515.44,76.6,9.8,560.86,82.4,10.1,609.19,82.9,10.2,624.69,86.7,10.5,659.6,82.6,9.3,615.98,75.2,8.8,536.67,65.1,8.2,429.35,53.6,6.8,294.49
AS23-0758.16,WT,Block 1,13.2,1.4,13.86,17.5,2,26.25,22,2.3,37.95,26.5,2.7,53.6625,35.3,3.4,90.015,39.5,3.9,115.5375,48.9,4.9,179.7075,58.8,5.7,251.37,68.9,6.9,356.5575,65.5,8.1,437.22,70.9,9,503.23,75.3,9.3,568.5,161.9,9.9,619.45,79.4,9.5,604,80.7,9.6,616.98,80.7,8.9,566.17,71.9,8,475.66,62.8,7.5,354.36,53.6,6.3,251.13
AS23-0758.17,WT,Block 1,11.8,1.5,13.275,16.1,2,24.15,19.6,2.4,35.28,25.1,2.7,50.8275,31.2,3.3,77.22,35.6,3.7,98.79,41.2,4.7,145.23,46.5,5.4,188.325,53.2,6,239.4,57.3,7.7,304.34,61.6,8.1,377.33,66.9,8.7,420.7,146.6,9.2,442.76,66.7,9.1,427.24,,,,66.7,8.8,450.03,60.1,9,407.77,60.4,7.9,376.53,51.9,6.8,260.55
AS23-0759.02,rdla,Block 1,11.5,1.4,12.075,16.2,2,24.3,22,2.5,41.25,27.2,2.9,59.16,34.4,3.2,82.56,41,4.2,129.15,47.7,5,178.875,56,5.5,231,61.6,6.3,291.06,53.7,8.1,286.8,130.1,8.4,318.11,54.4,9.3,335.99,56.3,9.5,390.33,60.1,9.5,412.45,58.5,9.5,380.15,57.3,9.4,393.98,57.7,8.6,350.88,53.1,7.7,292.17,52.2,7.2,292.7
AS23-0759.03,rdla,Block 1,11.4,1.5,12.825,17.2,2,25.8,21.8,2.6,42.51,30.2,3,67.95,36.7,3.3,90.8325,42.9,3.6,115.83,52.5,4.6,181.125,60.2,5.5,248.325,65.1,6.4,312.48,61.5,8.5,330.54,67.1,9,418.54,67.5,9.6,448.39,69.3,9.1,469.98,64.4,9,415.37,66.1,9,425.04,64.9,8.8,423.78,64.6,7.7,386.78,56,6.9,307.78,44.2,5.2,185.45
AS23-0759.04,rdla,Block 1,11,1.3,10.725,14.6,1.9,20.805,20.7,2.5,38.8125,28,2.8,58.8,34.9,3.3,86.3775,41.6,4.1,127.92,47.2,4.9,173.46,52.9,5.4,214.245,58,5.7,247.95,52.9,7.1,237.37,55.4,7.9,301.37,59.4,7.9,290.55,66.1,9,394.84,65.9,8.8,404.2,65.6,8.9,418.72,66.9,9.2,445.47,58.5,8.6,376.11,61,7.7,357.91,111.4,6.7,358.69
AS23-0759.07,rdla,Block 1,11.6,1.4,12.18,15.3,1.9,21.8025,22.8,2.5,42.75,28.1,2.8,59.01,34.9,3.3,86.3775,42.5,3.7,117.9375,48.2,4.5,162.675,56.2,5.4,227.61,61.7,6.2,286.905,53.9,7.1,256.66,61,8.6,366.97,65.9,9.4,426,68,9.2,450.01,67.8,9.1,443.65,68.6,9.8,504.82,59.3,9.3,376.82,64.1,8.5,406.04,54.2,7,280.39,53.4,6.9,277.31
AS23-0759.08,rdla,Block 1,10,1.4,10.5,14.3,1.8,19.305,20.5,2.4,36.9,26,3,58.5,35.6,3.4,90.78,42.7,4,128.1,47,4.9,172.725,57.7,5.8,250.995,62.5,6.7,314.0625,55.1,8,307.77,63.1,7.8,368.98,50.7,7.8,282.86,59.9,9.9,414.67,55.3,9.9,389.23,67.4,10.1,475.55,53.8,9.4,369.37,55.4,9.1,360.53,50.8,8.1,311.03,51.4,7.1,276.21
AS23-0759.09,rdla,Block 1,10.2,1.3,9.945,15.3,1.8,20.655,20,2.3,34.5,26.5,2.8,55.65,32.8,3.1,76.26,38,3.4,96.9,44.2,4.2,139.23,49.1,4.9,180.4425,59.6,5.9,263.73,59.3,8,319.64,63.7,8.8,367.65,69.7,8.9,427.5,70.7,9.4,450.29,68.4,9.6,467.89,65.7,9.4,425.25,70.2,8.6,351.66,46.7,8.4,302.05,52,7.5,297.05,14.9,4.3,29.87
AS23-0759.13,rdla,Block 1,9.1,1.3,8.8725,14.5,1.9,20.6625,19.3,2.4,34.74,26.5,2.8,55.65,33,3.1,76.725,37.9,3.4,96.645,45.7,4,137.1,52.6,4.8,189.36,58.4,5.9,258.42,51.2,7.3,244.82,60.6,9,357.3,66.7,8.9,426.15,63.4,9.2,430.9,67.1,9.2,477.54,68.5,9.6,488.16,63.3,8.8,411.96,56.8,7.6,309.71,53.1,6.9,274.13,51.4,6,199.36
AS23-0759.14,rdla,Block 1,11.2,1.5,12.6,16.2,2,24.3,21.5,2.5,40.3125,28.9,2.9,62.8575,35.6,3.3,88.11,40.8,3.8,116.28,46.5,4.4,153.45,53.1,5.1,203.1075,58.1,5.8,252.735,52.3,6.9,241.04,62.6,8.5,372.73,63.4,9.2,393.13,65.1,8.4,412.02,63.3,9.4,414.06,64.2,9.2,427.19,58,7.3,325.33,56.2,8.3,353.03,56.3,7.2,296.92,46.4,6,202.46
AS23-0759.16,rdla,Block 1,10.6,1.4,11.13,14.7,1.9,20.9475,21.6,2.4,38.88,27,3,60.75,34.6,3.3,85.635,41.5,3.8,118.275,48,4.3,154.8,53.4,4.9,196.245,59.9,5.5,247.0875,51.1,6.9,223.79,60.2,7.9,322.73,59.5,7.8,331.12,60.7,8.5,367.26,55.8,8.1,316.1,,,,58,7.4,302.05,54.4,7.6,316.48,58.2,6.6,268.68,45.3,5.9,205.14
AS23-0759.17,rdla,Block 1,10.9,1.3,10.6275,14.4,1.9,20.52,22.4,2.5,42,27.6,3,62.1,36.8,3.4,93.84,43.4,3.8,123.69,50.2,4.5,169.425,58.5,5.3,232.5375,63.9,5.7,273.1725,63,8.4,340.03,67.3,8.4,398.01,70.5,9,449.07,70.4,9.2,478.91,71.7,9.3,454.37,70.6,9.5,472.2,65.4,8.4,342.76,60.5,8,362.83,54.9,7.4,298.99,49.8,6.3,232.75
AS23-0804.02,rdla,Block 2,10.1,1.4,10.605,16,1.9,22.8,22.2,2.4,39.96,28.6,3,64.35,35.1,3.5,92.1375,40.5,4.2,127.575,47.7,4.9,175.2975,59,6,265.5,65.4,6.6,323.73,62.1,8.5,380.58,69.7,9.3,452.55,64,9.9,441.3,68.4,9.8,465.07,58.3,10.2,411.44,61.5,10,419.99,63.6,9.4,446.71,59.9,8.4,401.23,55.4,7.6,326.92,48.3,6.5,242.04
AS23-0804.03,rdla,Block 2,11.6,1.3,11.31,16.5,1.9,23.5125,25.1,2.6,48.945,31,3.4,79.05,39.9,3.8,113.715,41.8,4.6,144.21,52.5,4.9,192.9375,59.4,5.9,262.845,67,6.7,336.675,66.7,8.4,379.08,64.2,8.1,384.66,54,9.1,301.43,65.8,9.7,473.66,65.4,10.7,478.39,63.2,8,383.97,54.4,9.3,365.93,63.6,8.8,408.76,53.8,7.9,337.77,46.5,6.7,253
AS23-0804.05,rdla,Block 2,10,1.4,10.5,15.9,2,23.85,22.4,2.6,43.68,31.8,3.3,78.705,38.2,3.6,103.14,46.5,4.3,149.9625,54.6,4.8,196.56,62.8,6.1,287.31,69.1,6.6,342.045,66.5,8,376.8,65.8,8.6,411.2,70.3,9.1,451.48,65.7,9.7,417.57,61.2,8.8,354.02,43.7,9,287.79,57.3,9,351.84,50.2,7.7,277.59,48.6,6.9,249.28,41.3,5.9,190.52
AS23-0804.06,rdla,Block 2,7.5,1.4,7.875,13.1,2.2,21.615,22.4,2.7,45.36,32.2,3.2,77.28,39.7,3.7,110.1675,46.8,4.8,168.48,52.3,5.4,211.815,58.7,5.8,255.345,59,,,,,,,,,58.4,8.5,342.57,,,,61.8,8.4,370.72,62.5,8,386.25,61.1,7.5,357.65,56.2,6.8,308.96,49.2,5.7,231.49,31.3,4.4,88.16
AS23-0804.07,rdla,Block 2,9.7,1.4,10.185,16.7,1.9,23.7975,25.2,2.7,51.03,36.2,3.4,92.31,44.1,4,132.3,49.8,5.1,190.485,57.2,5.8,248.82,60.5,6.3,285.8625,69.9,7,366.975,63.8,8,387.58,66.9,8.6,435.68,69.2,8.8,436.15,69.6,8.6,416.72,57.1,9.3,367.83,55.7,8.7,319.17,55.9,8.7,314.07,49.9,7.6,292.88,43.2,6.7,221.75,30.8,4.7,111
AS23-0804.12,rdla,Block 2,8.9,1.4,9.345,14.6,2.2,24.09,21.8,2.9,47.415,30.5,3.5,80.0625,40.8,4,122.4,46.5,4.6,160.425,56.6,5.7,241.965,67.1,6.3,317.0475,68.2,7.1,363.165,66.8,8.2,393.3,70.7,8.3,393.06,67.9,8.5,395.42,66,8.8,367.76,62.9,8,363.76,54.6,8.8,318.91,69.9,7.7,329.38,52.6,7.1,274.53,46.4,6.2,209.41,34.7,4.6,123.51
AS23-0804.13,rdla,Block 2,9.2,1.6,11.04,16.5,2.2,27.225,23.5,2.9,51.1125,34.4,3.4,87.72,44.5,3.9,130.1625,52.7,4.3,169.9575,59.5,5.2,232.05,65.1,6,292.95,70.3,6.4,337.44,68.9,7.6,371.95,70.6,7.4,394.32,62.4,12.8,378.34,67.9,9.2,412.68,65.8,9,387.86,60.6,8.7,368.93,46.1,8.1,276.9,46.8,6.3,200.2,37.3,5.2,143.68,,,
AS23-0804.14,rdla,Block 2,9.7,1.5,10.9125,16.3,2.3,28.1175,25.3,3,56.925,32.8,3.7,91.02,41.8,4.5,141.075,49,4.5,165.375,56.6,5.4,229.23,63.8,5.7,272.745,68.3,6.4,327.84,61.4,7.7,335.03,60.6,7.4,336.94,63.8,9.5,370.69,60.3,8.7,352.88,71.4,8.2,386.17,59.6,8,380.65,52.5,7.1,314.5,55.6,6.5,256.94,54,5.1,159.27,,,
AS23-0804.15,rdla,Block 2,10.7,1.2,9.63,15.5,1.8,20.925,24.3,2.5,45.5625,32.7,3.2,78.48,40.7,3.4,103.785,42.8,4.1,131.61,52.6,4.8,189.36,56.6,5.2,220.74,66.6,5.9,294.705,66.8,7.4,315.53,69.7,7.3,371.1,69.8,7.6,367.69,68.7,8.5,408.39,72,8.9,441.73,67.6,8.5,404.81,59.3,7.9,345.6,55.7,6.9,308.61,46.8,6.2,228.38,48.1,4.5,131.82
AS23-0804.17,rdla,Block 2,9,1.5,10.125,14.5,2.2,23.925,22.3,2.8,46.83,32.2,3.3,79.695,40.8,4.1,125.46,48.7,5.2,189.93,55.9,5.8,243.165,64.1,6.4,307.68,68.9,5.7,294.5475,62,8,357.11,62.3,8.8,390.42,65.4,7.5,340.1,65.4,8.7,403.45,55.2,8.8,345.89,60.8,9.1,380.99,57.4,7.9,332.5,47.6,8,289.51,46.1,6.7,231.41,34.2,5,132.01
AS23-0805.02,WT,Block 2,10.1,1.6,12.12,15.1,2.2,24.915,21.2,2.8,44.52,28.2,3.2,67.68,37,3.8,105.45,41.4,4.5,139.725,47.3,5.4,191.565,56.3,6.3,266.0175,65.6,6.9,339.48,64.3,8,405.94,70.3,9.2,449.01,73.4,9.6,544.79,72.5,9,527.25,73.7,11.2,605.57,78.3,11.5,623.33,75.4,10.3,557.48,71.2,10,534,61.8,9,422.77,55.2,7.9,325.38
AS23-0805.03,WT,Block 2,10.8,1.5,12.15,15,2.4,27,22.3,2.8,46.83,27.4,3.2,65.76,35.6,3.9,104.13,41.6,4.4,137.28,49,5.1,187.425,56.8,5.6,238.56,61,6.7,306.525,61.8,7.9,364.93,60.1,8.3,362.39,70,8.9,464.83,69.7,9.7,434.34,77.7,9.6,542.48,82,10.8,466.57,74.3,9.4,520.44,66.3,8.8,452.25,62.4,8.1,396.88,51.3,7.1,282.49
AS23-0805.06,WT,Block 2,10.7,1.7,13.6425,17.2,2.3,29.67,25.1,2.9,54.5925,31.9,3.5,83.7375,38.3,4,114.9,45.1,4.9,165.7425,53.7,5.7,229.5675,62.3,6.3,294.3675,71.4,7.1,380.205,68,8.3,408.33,74.5,8.6,501.38,75.3,9,535.11,84.4,10.1,601.85,84.1,9.7,601.34,69.4,9.4,537.8,72.3,8.9,520.14,63,8.1,414.48,55.3,6.9,311.36,48.7,7.7,225.44
AS23-0805.08,WT,Block 2,11.6,1.5,13.05,17.5,2.2,28.875,26.1,2.9,56.7675,33.2,3.6,89.64,40.9,3.8,116.565,44.7,4.9,164.2725,50.7,5.9,224.3475,59.4,6.3,280.665,64.3,7.3,352.0425,64.4,8.1,403.56,66,9.1,467.18,73.8,9.6,528.57,79.4,10.3,540.3,83.2,10.6,596.83,80,10.1,606.54,80.2,9.9,605.15,72.2,9.1,536.68,62.7,8.8,438.25,54.1,7.4,327.56
AS23-0805.10,WT,Block 2,12.5,1.6,15,19,2.2,31.35,27.6,3.1,64.17,32,3.7,88.8,41.8,4.1,128.535,47.9,5,179.625,53,5.9,234.525,61.6,6.5,300.3,71.5,6.8,364.65,67,8.1,337.55,69.9,8.4,446.86,75.5,8.8,473.48,79.2,8.8,508.91,79.6,10.2,539.21,68.2,9.7,470.09,67.1,9.2,447.24,62.6,8.8,416.68,53.3,8.2,325.81,47.4,6.8,248.82
AS23-0805.12,WT,Block 2,11,1.5,12.375,16,2.2,26.4,23.9,2.8,50.19,32.6,3.3,80.685,41.2,4,123.6,48,4.8,172.8,56.8,5.7,242.82,66.8,6.4,320.64,75.3,7.3,412.2675,73.8,8.1,455.71,74,7.9,464.94,80.8,9.3,565.47,91.9,9.5,588.97,83.6,9.8,611.58,75,9.8,576.96,68.6,9,518.56,69.1,8.5,465.05,57.2,7.6,336.65,49.8,6.2,244.26
AS23-0805.13,WT,Block 2,11.9,1.6,14.28,16.8,2.2,27.72,24.8,2.8,52.08,34.4,3.4,87.72,43.2,4,129.6,49.8,4.8,179.28,58.4,5.6,245.28,66.8,6.4,320.64,70,7.2,378,70.4,7.7,397.8,75.5,8.4,470.29,77.2,9,513.89,84.4,9.6,567.05,83.6,9.7,611.84,83.1,9.6,584.25,76,9,546.23,66.1,8.2,439.7,59.6,7.3,333.72,51.4,6.2,250.24
AS23-0805.14,WT,Block 2,12.3,1.6,14.76,19.4,2.2,32.01,26.5,2.9,57.6375,35.3,3.4,90.015,42.9,4.1,131.9175,48.2,4.9,177.135,56,5.5,231,62.6,6.2,291.09,72.7,6.9,376.2225,71.8,7.8,422.97,72.4,8.8,485.86,79.9,9.4,537.32,84.5,9.2,558.93,83.3,9.7,584.62,76.7,9.5,552.09,68.8,8.9,486.44,61.6,7.9,390.88,53.7,7.1,278.37,38.1,5.6,155.24
AS23-0805.15,WT,Block 2,11.6,1.4,12.18,17.5,2.2,28.875,25.5,2.7,51.6375,34.4,3.5,90.3,42.6,4,127.8,48.8,5,183,56.3,5.7,240.6825,61.7,6.6,305.415,67.8,6.9,350.865,62.8,7.9,372.6,73.3,8.6,442.18,75.6,9.4,513.56,76.2,10.6,569.86,81.6,10,569.34,67,10,483.18,69,9.9,516.09,65.1,8.9,442.84,51.5,8.1,311.6,43.9,6.4,211.59
